name,url,fee_pct,fee_note,custody,kyc,coins,settlement_fiat,lightning,founded,notable,verified,source_url,study_cohort
Nuvei Pay with Crypto,https://www.nuvei.com/apm/pay-with-crypto,1,Negotiated merchant pricing; converts to fiat,custodial,required,40,true,false,2021,"Enterprise acquirer crypto acceptance, 200+ markets",false,https://www.nuvei.com/solutions/crypto-digital-assets,false
Oobit,https://www.oobit.com,1,"1% per tap, $0.25 min, +~0.5% spread",non-custodial,required,6,true,false,2019,"Tap-to-pay crypto at Visa terminals, fiat settlement",true,https://www.cryptocards.so/en/card/oobit-tap-pay,false
OpenNode,https://opennode.com,1,1% per transaction; free Lightning withdrawals,custodial,required,1,true,true,2018,"Bitcoin-only, Lightning-first processor",true,https://opennode.com/pricing/,true
OxaPay,https://oxapay.com,0.4,from 0.4% per transaction,custodial,none,20,false,false,2022,No-KYC email signup; Telegram-friendly,true,https://oxapay.com/,true
PassimPay,https://passimpay.io,0.5,From 0.5% per tx; +0.2% auto-conversion,custodial,required,74,true,false,2022,"74+ coins, 18+ chains, SEPA EUR settlement",true,https://passimpay.io/en,false
PayGate.to,https://paygate.to,1.5,1.5% flat + blockchain fees,non-custodial,none,50,false,false,2022,"No signup, instant forwarding to merchant wallet",true,https://paygate.to/crypto-payment-gateway-no-kyc-instant-payouts/,false
PayKassa,https://paykassa.pro,4,0% to accept; 4% on payout,custodial,none,16,true,false,2019,Email-only signup aggregator popular in CIS markets,true,https://paykassa.pro/en/accept/,true
Paymento,https://paymento.io,0.5,"Free up to $20k volume, then 0.5%",non-custodial,none,15,false,false,2024,"XPUB-based, funds direct to merchant wallet",true,https://paymento.io/fees-and-pricing/,false
PayRam,https://www.payram.com,0,0% processing; optional orchestration up to 2.5%,self-hosted,none,20,false,false,2023,"Self-hosted non-custodial gateway, iGaming-popular",true,https://www.payram.com/white-label,false
Plisio,https://plisio.net,0.5,0.5% gateway fee,custodial,none,12,false,false,2018,No-KYC signup with a single flat 0.5% fee,true,https://plisio.net/pricing,true
PYMSTR,https://pymstr.com,1,Flat 1% only; no setup/payout/conversion fees,non-custodial,none,2,false,false,2024,Non-custodial USDC/USDT direct to merchant wallet,true,https://pymstr.com/pricing,false
Radom,https://radom.com,0.5,0.5% + $0.50 per transaction,hybrid,required,12,true,false,2022,Regulated EU VASP; subscriptions and invoicing,true,https://radom.com/pricing,true
Request Finance,https://www.request.finance,0,SaaS plans; 0.95-1.5% off-ramp,non-custodial,optional,100,true,false,2020,"Crypto invoicing, payroll and AP/AR suite",true,https://www.request.finance,true
RocketFuel,https://rocketfuel.inc,1,"As low as 1%, next-day fiat settlement",custodial,required,160,true,false,2018,"US-listed (RKFL), one-click checkout, 160+ coins",false,https://rocketfuel.inc/crypto-payments/,false
Salamantex,https://salamantex.com,1,1% to 1.95% by volume and settlement choice,hybrid,required,8,true,false,2017,"Austrian POS terminals, crypto or EUR at checkout",false,https://salamantex.com/en/salamantex-crypto-payment-service,false
Sellix,https://sellix.io,5,up to 5% on free plan,custodial,none,13,false,false,2020,Digital-goods storefront platform with crypto checkout,false,https://sellix.io,true
Shieldz,https://shieldz.cash,0,$0 platform fee; buyer pays network gas,non-custodial,none,20,false,false,2026,"Non-custodial, $0 fee, no KYC; pay any coin, settle in one",true,https://shieldz.cash/pricing,true
Solana Pay,https://solanapay.com,0,open protocol; network fees only,non-custodial,none,2,false,false,2022,Open-source direct merchant payment protocol,true,https://solanapay.com/,true
SpectroCoin,https://spectrocoin.com,1,1% per paid order,custodial,required,30,true,false,2013,Lithuanian exchange-wallet combo with merchant tools,true,https://docs.spectrocoin.com/docs/fees,true
Speed,https://www.tryspeed.com,1,1% per transaction,custodial,optional,3,true,true,2022,Lightning plus USDT/USDC with instant autoswap,true,https://www.tryspeed.com/pricing/,true
Sphere,https://spherepay.co,0.5,0.5% + $0.05 per transaction,custodial,required,3,true,false,2022,Solana-born stablecoin ramps with ACH/SEPA/PIX rails,true,https://spherepay.co,true
SpicePay,https://www.spicepay.com,1,Fee never exceeds 1%,custodial,required,5,true,false,2013,"Long-running BTC processor, PayPal/bank payouts",true,https://www.spicepay.com/accept-payments/,false
Strike Business,https://strike.me/business/,0,0% processing; 0.49-1.29% fiat conversion,custodial,required,2,true,true,2020,Lightning payments pioneer,true,https://strike.me/business/,true
Stripe (Pay with Crypto),https://stripe.com/crypto,1.5,"1.5% per transaction, no fixed fee",custodial,required,3,true,false,2024,Stablecoin checkout settling into the Stripe balance,true,https://docs.stripe.com/crypto/pay-with-crypto,true
TripleA,https://www.triple-a.io,0.8,"0.8% per transaction, volume-tiered",custodial,required,6,true,true,2017,First MAS-licensed crypto payments firm; bank-grade settlement,true,https://www.triple-a.io,true
Trybit (ex-CryptoCloud),https://trybit.com,0.4,from 0.4% per transaction,custodial,required,40,false,false,2021,Rebranded to Trybit in 2026; auto-convert to USDT,true,https://trybit.com/,true
UniPayment,https://unipayment.io,0.8,"Low flat fee, no setup/monthly",custodial,required,30,true,false,2020,Hybrid fiat/crypto gateway for brokers and e-commerce,false,https://unipayment.io,false
Wallet Pay,https://pay.wallet.tg,1,Beta ~1-3%; free for direct transfers,custodial,optional,3,false,false,2023,TON-based acceptance inside Telegram Wallet,false,https://pay.wallet.tg,false
Whalestack,https://www.whalestack.com,0.5,0.5% settlement fee,custodial,required,6,true,true,2019,"Formerly COINQVEST; EU-licensed, Stellar settlements",true,https://www.whalestack.com/en/pricing,true
WhiteBIT Pay,https://whitebit.com,0.5,Under half of typical acquiring; next-day settle,custodial,required,200,true,false,2022,"EU-regulated exchange gateway, powers Whitepay",false,https://blog.whitebit.com/en/whitebit-pay-how-does-it-work/,false
Whitepay,https://whitepay.com,1,1% base fee,custodial,required,200,true,false,2020,WhiteBIT-powered POS; known for Ukraine crypto donations,true,https://whitepay.com/product/crypto-acquiring,true
XAIGATE,https://www.xaigate.com,0.2,"First 500 tx/mo free, then 0.2%",non-custodial,none,50,false,false,2023,Very low fee; WooCommerce/PrestaShop plugins,true,https://www.xaigate.com/low-fee-crypto-payment-gateway/,false
xMoney,https://www.xmoney.com,1,1% flat with instant fiat settlement,custodial,required,10,true,false,2017,Formerly Utrust; MiCA-aligned EU crypto payments,true,https://www.xmoney.com,true
Zaprite,https://zaprite.com,0,"$25/mo; 0% on invoices, payment links and POS; 1% on API and WooCommerce (cap $15/tx)",non-custodial,none,2,true,true,2018,Bitcoin invoicing that connects your own wallets,true,https://zaprite.com/pricing,true
